source_id,source_type,title,author_or_body,date_or_year,identifier,canonical_url,archive_or_mirror,rights_status,topics,research_state,notes
SRC-0027,vendor-corpus,Bell System Data Set manuals and announcements,AT&T/Bell System,1950s-1980s,various,,,copyright/archival,"Bell 101;Bell 103;modems;leased lines",priority,"Required to resolve Bell 101/103 chronology"
SRC-0028,government-report-corpus,On Distributed Communications,Paul Baran/RAND,1960s,RAND report series,,,verify,"distributed communications;message blocks;survivability",priority,"Record each volume/report separately"
SRC-0029,source-code-corpus,BSD networking source trees,CSRG/Berkeley,1980s,various releases,,,license varies,"TCP/IP;sockets;BSD;congestion control",priority,"Track 4.1a/b/c 4.2 4.3 Tahoe Reno separately"
SRC-0030,source-code-corpus,UUCP and Usenet source trees,various,1970s-1990s,various,,,license varies,"UUCP;Usenet;A News;B News;C News",started,"Deep-dive sources identified; preserve source versions and operational maps/configuration"
SRC-0031,academic-paper,Data Communications at the National Physical Laboratory (1965–1975),Martin Campbell-Kelly,1987-1988,"Annals of the History of Computing 9(3/4)",,https://archive.org/details/DataCommunicationsAtTheNationalPhysicalLaboratory,verify,"NPL;packet switching;BS4421;Mark I;Mark II;people",mined,"Archive-based scholarly study with participant interviews; central map to surviving NPL memoranda"
SRC-0032,institutional-history,Donald Davies,National Physical Laboratory,ongoing,,https://www.npl.co.uk/about-us/history/famous/donald-davies,,web,"Donald Davies;NPL;packet switching",mined,"Institutional chronology; pair with project memoranda"
SRC-0033,institutional-report,Packet Switching: The first steps on the road to the information society,National Physical Laboratory,retrospective,,https://www.npl.co.uk/getattachment/de2d9db5-999d-4a75-99ce-6730b8c204a6/UK-role-in-Packet-Switching-%281%29.pdf,,verify,"NPL;packet switching;Mark I;Mark II",skimmed,"Useful retrospective; extract claim-level locators before treating as canonical"
SRC-0034,academic-paper,Presentation and Major Design Aspects of the CYCLADES Computer Network,Louis Pouzin,1973,CYCLADES design paper,,https://walden-family.com/am254/vol1-9e-pouzin-cyclades.pdf,verify,"CYCLADES;CIGALE;hosts;datagram;architecture",mined,"Primary contemporary design paper; also cited by early Internet documents"
SRC-0035,academic-paper,"CIGALE, The Packet Switching Machine of the CYCLADES Computer Network",Louis Pouzin,1974,IFIP 1974,,https://rogerdmoore.info/PS/CIGALE/CIGALE.html,verify,"CIGALE;Mitra 15;V.24;leased lines;routing;operations",mined,"Online transcription gives concrete hardware/software details; locate stable scan/original proceedings"
SRC-0036,academic-paper,The CYCLADES Network — Present State and Development Trends,Louis Pouzin,1975,CYCLADES status paper,,https://www.rogerdmoore.info/PS/CIGALE/CYCL2.html,verify,"CYCLADES;operations;chronology;terminal concentrators",mined,"Contemporary status chronology; locate original scan"
SRC-0037,contemporary-press,NPL-CYCLADES packet-network interconnection report,Computer Weekly,1974-06-13,"Computer Weekly issue/date",,https://www.tnmoc.org/notes-from-the-museum/2023/10/04/fifty-years-ago-from-the-pages-of-computer-weekly-c72lb-xdn8p-fdjlr-ahz981-lw8bw-8x5kr-l5eja-6kpe7-7tt86-9yej8-csrke-9e4zz,verify,"NPL;CYCLADES;Codex modem;9600 baud;BSC",mined,"Museum-preserved excerpt is contemporary lead; seek original full article and NPL/IRIA engineering records"
SRC-0038,academic-paper,Development of the ALOHANET,Norman Abramson,1985,retrospective engineering paper,https://www.eng.hawaii.edu/wp-content/uploads/2020/06/abramson1985-Development-of-the-ALOHANET.pdf,,copyrighted-link-only,"ALOHAnet;UHF;TCU;RS-232;packet radio",mined,"Participant retrospective with concrete frequencies/rate/range; cross-check early project papers"
SRC-0039,institutional-archive,ALOHAnet paper archive,University of Hawaiʻi College of Engineering,ongoing,,https://www.eng.hawaii.edu/about/history/alohanet/,,web,"ALOHAnet;papers;packet radio",mined,"Discovery spine for original ALOHA publications"
SRC-0040,government-report,NBS/NIST packet-network historical review,NBS/NIST,1981-1982,"Journal of Research/NBS packet network review",https://nvlpubs.nist.gov/nistpubs/jres/086/6/jresv86n6.pdf,,government-work-check-jurisdiction,"ALOHAnet;packet formats;network diagrams",skimmed,"Contains useful retrospective packet/resource diagrams; verify exact revision before importing format facts"
SRC-0041,standard,Recommendation X.25 (Orange Book 1976),CCITT,1976-10,X.25 1976,https://www.itu.int/ITU-T/recommendations/rec.aspx?lang=en&rec=10605,https://search.itu.int/history/HistoryDigitalCollectionDocLibrary/4.257.43.en.1017.pdf,copyrighted-link-only,"X.25;DTE;DCE;logical channels;virtual calls",mined,"Treat edition as distinct object; later editions must not overwrite 1976 behavior"
SRC-0042,standards-volume,Provisional Recommendations X.3 X.25 X.28 X.29,CCITT,1976,Orange Book provisional packet/PAD recommendations,https://search.itu.int/history/HistoryDigitalCollectionDocLibrary/4.257.43.en.1020.pdf,,copyrighted-link-only,"X.3;X.25;X.28;X.29;PAD",mined,"Primary standards volume for Triple-X PAD archaeology"
SRC-0043,rfc,A Standard for the Transmission of IP Datagrams over Public Data Networks,Internet community,1983,RFC 877,https://www.rfc-editor.org/rfc/rfc877.html,,RFC distribution terms,"IP;X.25;CSNET;virtual circuits",mined,"Primary evidence that deployed TCP/IP and X.25 histories overlap rather than form separate camps"
SRC-0044,technical-paper,A Dial-Up Network of UNIX Systems,"D. A. Nowitz; M. E. Lesk",1970s,"UNIX system managers manual paper",,https://bitsavers.trailing-edge.com/pdf/usenix/Usenix_BSD_Manuals/4.3_1st_printing_198611/SMM_Unix_System_Managers_Manual_4.3BSD_198604.pdf,verify,"UUCP;dial-up;telephone;store-and-forward",mined,"Preserved in later BSD manual collection; locate earliest edition/publication copy"
SRC-0045,manual-index,Seventh Edition UNIX documentation index,Bell Labs/UNIX,1979,V7 /usr/doc index,https://www.tuhs.org/cgi-bin/utree.pl?file=V7/usr/doc/index,,archive,"UUCP;UNIX documentation",mined,"Confirms inclusion of dial-up network and UUCP implementation descriptions; follow into exact files"
SRC-0046,participant-history,Distributing the News,USENIX/participants,2015 retrospective,login historical article,https://www.usenix.org/system/files/login/issues/login_aug15_issue.pdf,,copyrighted-link-only,"Usenet;A News;B News;UUCP",mined,"Participant history useful for attribution/release chronology; verify against source distributions and announcements"
SRC-0047,source-code,C News source and patch archive,"Geoff Collyer; Henry Spencer; contributors",1989-1990s,various C News releases,https://www.tuhs.org/Usenet/comp.sources.bugs/1990-January/002455.html,,license-check,"C News;Usenet;spool;history;operations",skimmed,"Concrete operational evidence; build complete release/patch manifest"
SRC-0048,rfc,The DARPA Internet Gateway,"Robert Hinden; Alan Sheltzer",1982,RFC 823,https://www.rfc-editor.org/rfc/rfc823.html,,RFC distribution terms,"gateway;router;PDP-11;interfaces;GGP;INOC",mined,"Exceptional primary description of hardware interfaces software structure queueing and operations"
SRC-0049,rfc,A Glossary of Networking Terms,Internet Engineering community,1991,RFC 1208,https://www.rfc-editor.org/rfc/rfc1208.html,,RFC distribution terms,"terminology;gateway;router",mined,"Primary evidence for terminology shift; use period terms in historical records"
SRC-0050,rfc,Requirements for Internet Gateways,Internet Engineering community,1987,RFC 1009,https://www.rfc-editor.org/rfc/rfc1009.html,,RFC distribution terms,"gateway;router;IP requirements",skimmed,"Bridge between experimental gateways and standardized Internet-router requirements"
SRC-0051,historical-archive,The Fuzzball,David L. Mills,retrospective/source archive,Fuzzball archive,https://www.eecis.udel.edu/~mills/gallery/gallery10.html,,rights-check,"Fuzzball;NSFNET;PDP-11;source code;congestion",mined,"Participant archive reports surviving source/binaries and original 56-kbit/s NSFNET experience"
SRC-0052,academic-paper,The NSFNET Backbone Network,"D. L. Mills; H.-W. Braun",1987,SIGCOMM 1987,https://www.ntp.org/reflib/papers/bone.pdf,,copyrighted-link-only,"NSFNET;Fuzzball;DDCMP;routing;backbone",mined,"Primary contemporary technical paper; stable open author/research-community copy registered"
SRC-0053,institutional-history,NSFNET: A Partnership for High-Speed Networking,Merit Network,retrospective,Merit NSFNET report,https://www.merit.edu/wp-content/uploads/2024/10/Merit-Network_NSFNET-A-Partnership-for-High-Speed-Networking.pdf,,copyrighted-link-only,"NSFNET;IBM RT;NSS;T1;T3;operations",mined,"Institutional history with hardware/organizational details; trace NSS specifics to contemporary engineering docs"
SRC-0054,participant-history,Increasing Growth Speed Coverage and Reliability: Hans-Werner Braun and the Development of the NSFNET,Internet Society,retrospective,,https://news.internetsociety.org/increasing-growth-speed-coverage-and-reliability-hans-werner-braun-and-the-development-of-the-nsfnet/,,web,"NSFNET;Hans-Werner Braun;operations;growth",skimmed,"Participant-oriented context; use for leads and cross-checks"
SRC-0055,technical-report,Specifications for the Interconnection of a Host and an IMP,Bolt Beranek and Newman Inc.,1976-01,BBN Report 1822,,https://www.bitsavers.org/pdf/bbn/imp/BBN1822_Jan1976.pdf,rights-unclear-link-only,"ARPANET;1822;Host-IMP;Local Host;Distant Host;ready lines",started,"January 1976 revision; earlier revisions must remain distinct and need their own records"
SRC-0056,hardware-manual,ALTO: A Personal Computer System — Hardware Manual,Xerox PARC,1979-05,May 1979 Hardware Manual,https://xeroxalto.computerhistory.org/_cd8_/altodocs/.altohardware.press%212.pdf,https://xeroxalto.computerhistory.org/,copyrighted-link-only,"Alto;2.94 Mbit/s Ethernet;transceiver;microcode;CRC;collision",mined,"Primary manual for mature Alto-era implementation; do not back-project every detail to the 1973 prototype"
SRC-0057,protocol-specification,Pup Specifications,"Ed Taft; Bob Metcalfe; Xerox PARC/CSL",1978-06-30,30 June 1978 update,https://xeroxalto.computerhistory.org/_cd8_/pup/.pupspec.press%211.pdf,https://xeroxalto.computerhistory.org/,copyrighted-link-only,"PUP;internetworking;gateway;Ethernet;ARPANET;Byte Stream",mined,"Updates 20 October 1975 version; earlier specification needs separate record"
SRC-0058,academic-paper,The Fuzzball,David L. Mills,1988-08,SIGCOMM 1988,https://www.eecis.udel.edu/~mills/database/papers/fuzz.pdf,https://www.eecis.udel.edu/~mills/gallery/gallery10.html,copyrighted-author-hosted-link-only,"Fuzzball;PDP-11;LSI-11;drivers;zero-copy;HELLO;clock",mined,"Primary participant/contemporary architecture paper with surviving implementation archive"
SRC-0059,rfc,The Request for Comments Reference Guide,Jon Postel,1987-08,RFC 1000,https://www.rfc-editor.org/rfc/rfc1000.html,,RFC distribution terms,"RFC history;ARPANET;Steve Crocker;UCLA;Wingfield",mined,"Contains Steve Crocker's retrospective on first RFCs, Mike Wingfield's interface and first IMP delivery"
SRC-0060,rfc,Ready Line Philosophy and Implementation,Jerry Burchfiel,1974-05,RFC 642,https://www.rfc-editor.org/rfc/rfc642.html,,RFC distribution terms,"1822;ready lines;Host-IMP;implementation practice",mined,"Operational cookbook showing interoperability ambiguity in real Host-IMP interface implementations"
SRC-0061,archival-memo,Ether Acquisition / Alto Aloha Network concept,Bob Metcalfe,1973-05-22,PARC internal memo,,https://www.digibarn.com/collections/diagrams/ethernet-original/,rights-check-link-only,"Ethernet;Alto Aloha Network;PARC;shared medium",started,"Preserved scan/provenance lead; locate primary CHM/PARC catalog record and exact memo title/file identifier"
SRC-0062,source-code-corpus,Fuzzball source and binary archive,David L. Mills,1970s-1992,Fuzzball source archive,https://www.eecis.udel.edu/~mills/resource.html,,rights-check,"Fuzzball;source code;PDP-11;MACRO-11;RT-11;build archaeology",priority,"Create manifest/checksum record for the actual archive file and map source modules to the 1988 paper"
