artifact_id,artifact_type,name,manufacturer_or_body,era_or_first_date,network_or_family,layer_or_role,research_state,primary_source_target,notes
ART-0053,packet-radio,ALOHAnet Terminal Control Unit,University of Hawaiʻi,1970-1971,ALOHAnet,"terminal packetization/retransmission and radio interface",started,"ALOHAnet papers; TCU schematics","Alan Okinaka/David Wax design lineage; RS-232 terminal side; exact revisions needed"
ART-0054,radio-link,ALOHAnet UHF channel pair,University of Hawaiʻi,1971,ALOHAnet,"shared packet-radio physical medium",started,"Abramson papers; FCC/allocation records; hardware manuals","Retrospective source gives 407.350 and 413.475 MHz 100-kHz channels; verify by revision/date"
ART-0055,packet-switch,ALOHAnet Menehune,University of Hawaiʻi,1970s,ALOHAnet,"central packet/control resource",priority,"ALOHAnet diagrams; source/software/hardware records","Name/hardware changed over project life; require revision-specific records"
ART-0056,protocol,Pure ALOHA,University of Hawaiʻi,1970s,ALOHAnet,"random-access shared-medium protocol",started,"original ALOHA papers","Separate theoretical protocol from deployed packet formats and TCU timing"
ART-0057,protocol,Slotted ALOHA,University of Hawaiʻi and research descendants,1970s,ALOHA family,"slotted random-access protocol",started,"original papers","Track theory/deployment separately"
ART-0058,standard,X.25 (1976 edition),CCITT,1976,public data networks,"DTE-DCE packet-mode interface",started,"CCITT Orange Book Recommendation X.25 (1976)","Do not merge later 1980/1984/1988 editions"
ART-0059,standard,X.3 PAD parameters (1976 provisional/edition),CCITT,1976,X.25 PAD,"PAD parameters/functions",started,"CCITT Orange Book/provisional recommendation","Build parameter-number diff across editions"
ART-0060,standard,X.28 terminal-to-PAD procedures (1976),CCITT,1976,X.25 PAD,"async start-stop terminal access",started,"CCITT recommendation X.28","Recover user-visible command/session procedures by public network"
ART-0061,standard,X.29 PAD control procedures (1976),CCITT,1976,X.25 PAD,"PAD-to-packet-mode DTE control/data",started,"CCITT recommendation X.29","Track protocol identification/control fields by edition"
ART-0062,software,pathalias,"Peter Honeyman and contributors",1980s,UUCP/Usenet,"UUCP route computation",priority,"pathalias source/paper; UUCP maps","Turns connectivity maps into routes; preserves economics/topology story"
ART-0063,router,BBN DARPA Internet Gateway,"BBN; DARPA",1982,Internet,"IP gateway/router",started,"RFC 823; IEN 30; IEN 109; source/manuals","PDP-11/LSI-11; preserve contemporary gateway terminology and interface-board inventory"
ART-0064,interface,ACC LSI-11 1822 interface,ACC,early 1980s,Internet/ARPANET,"gateway-to-1822 attachment",priority,"RFC 823; ACC manuals","One of several concrete interfaces supported by BBN gateway"
ART-0065,interface,Interlan Ethernet interface,Interlan,early 1980s,Internet/Ethernet,"gateway Ethernet attachment",priority,"RFC 823; Interlan manuals","Identify exact model used by BBN gateways"
ART-0066,interface,Proteon Ring interface,Proteon,early 1980s,Internet/Proteon Ring,"gateway ring-network attachment",priority,"RFC 823; Proteon manuals","Shows heterogeneous-network role of early gateways"
ART-0067,operations-system,Internet Network Operations Center (INOC),DARPA/BBN ecosystem,early 1980s,Internet,"gateway/network monitoring and operations",priority,"RFC 823; operational manuals/logs","Recover consoles alarms traps staffing and escalation procedures"
ART-0068,protocol,GGP Gateway-to-Gateway Protocol,DARPA Internet community,early 1980s,Internet,"gateway routing/control",priority,"RFCs/IENs/source","Connect to core-system and later EGP routing history"
ART-0069,software,Fuzzball networking system,David L. Mills,1970s-1990s,Internet/NSFNET,"router operating/software environment",started,"Mills archive; source/binaries; NSFNET reports","Deep internals excavation exists; separate software environment from individual physical nodes"
ART-0070,network,NSFNET 56 kbit/s backbone,"NSF; NSFNET sites",1986,NSFNET,"national academic IP backbone",started,"Mills/Braun paper; NSF/Merit records","Inventory exact Fuzzball site hardware circuits interfaces and HELLO configs"
ART-0071,network,NSFNET T1 backbone,"NSF; Merit; IBM; MCI",1988,NSFNET,"1.544 Mbit/s national academic backbone",started,"Merit/IBM/MCI/NSF records","NSS site BOM and organizational responsibility are part of the artifact"
ART-0072,protocol,HELLO routing protocol,David L. Mills/Internet community,1980s,NSFNET/Internet,"interior routing/time-delay metric",priority,"RFCs; Fuzzball source; NSFNET configs","Recover exact NSFNET deployment parameters"
ART-0073,carrier-service,NSFNET T1 long-haul circuits,MCI/partners,1988,NSFNET,"1.544 Mbit/s carrier infrastructure",priority,"MCI/Merit contracts; circuit records; CSU/DSU/interface docs","Carrier layer should be reconstructed separately from IP routing layer"
ART-0074,network,NSFNET T3 backbone,"NSF; Merit/ANS; IBM; MCI",1991,NSFNET,"45 Mbit/s national backbone",started,"Merit/ANS/IBM/MCI records","Identify RS/6000 models node architecture and 45-Mbit/s transmission equipment"
ART-0075,protocol,IP over X.25 (RFC 877 profile),IETF predecessor community,1983,Internet over public data networks,"IP encapsulation over X.25 virtual calls",started,"RFC 877; CSNET operational records","Concrete counterexample to simplistic TCP/IP-vs-X.25 histories"
ART-0076,interface,Mike Wingfield UCLA Sigma 7 Host-IMP interface,"Mike Wingfield; UCLA",1969,ARPANET/UCLA,"Sigma 7 channel to 1822 interface",priority,"Wingfield drawings; UCLA engineering records; RFC 1000 recollection","First UCLA host interface; recover logic boards connector pinout registers buffers and surviving hardware"
ART-0077,modem-data-set,Bell 303-class wideband data set,Bell System,1960s-1970s,ARPANET,"50 kbit/s first-generation inter-IMP carrier boundary",started,"Bell 303 technical reference; Report 1822; NTIA VDH report; BBN install records","Deep excavation now exists; 303C speed family established, exact 1969 UCLA/SRI suffix/interface option remains unresolved"
ART-0078,interface,1822 Local Host electrical interface,BBN/ARPANET sites,1969-,ARPANET,"nearby host-to-IMP physical interface",priority,"dated Report 1822 revisions; site schematics","Keep revision-specific signal levels timing cable length connector and grounding data"
ART-0079,interface,1822 Distant Host electrical interface,BBN/ARPANET sites,1970s,ARPANET,"longer-distance host-to-IMP physical interface",priority,"dated Report 1822 revisions; site schematics","Differential/isolated electrical implementation must not be merged with Local Host"
ART-0080,interface,1822 Very Distant Host attachment,BBN/ARPANET sites,1970s,ARPANET,"remote host over telecommunications line",started,"Report 1822; RFC 547; NTIA Report 78-3; modem/interface manuals","Concrete Bell 303/BSC/50-kbit/s VDH example now documented; site variants still need split records"
ART-0081,transceiver,Xerox experimental Ethernet transceiver,Xerox PARC,1973-1970s,Ethernet/PUP,"2.94 Mbit/s coax medium attachment",started,"PARC transceiver electrical specification; schematics; surviving hardware","Deep physical-layer excavation exists; exact electrical sheet values await scan verification"
ART-0082,software,Xerox Alto Ethernet microcode,Xerox PARC,1970s,Ethernet/PUP,"NIC/controller microcode and buffer/collision control",priority,"Alto source trees; Hardware Manual; Ethernet interface memo","Map microcode revisions to FIFO backoff receive filtering and status locations"
ART-0083,network-medium,Xerox experimental 2.94 Mbit/s Ethernet coax,Xerox PARC,1973-1970s,Ethernet,"shared passive coaxial medium",started,"PARC electrical/installation documents; photographs","CATV taps and mixed small/large coax documented; exact vendor/model/topology remains open"
ART-0084,gateway,PUP internetwork gateway,Xerox PARC,1970s,PUP internet,"forward PUP across heterogeneous packet networks",priority,"PUP specifications; gateway source; PARC network maps","Split generic architecture into named gateway hosts/models/interfaces as evidence is recovered"
ART-0085,source-code-artifact,Fuzzball source/build environment,David L. Mills,1970s-1992,Fuzzball,"PDP-11 assembler source binaries and build toolchain",priority,"Mills source archive; RT-11/MACRO-11 documentation","Create archive manifest checksums module map and code-to-paper concordance"
ART-0086,interface,Xerox Alto BBN-1822 interface,"Larry Stewart; Xerox PARC",1970s,PUP/ARPANET,"Alto attachment to ARPANET/1822",priority,"Alto Hardware Manual; PARC interface drawings/source","Concrete cross-link between PARC internetworking and ARPANET hardware"
ART-0087,surviving-specimen,ARPANET IMP No. 1 at UCLA,"BBN/Honeywell; UCLA custodian",1969-present,ARPANET/UCLA,"surviving first IMP physical artifact",priority,"UCLA Connection Lab inventory; serial/board photos; conservation records","Do not assume present board population equals September 1969 configuration without provenance"
ART-0088,processor-role,IBM RT NSFNET Packet Switching Processor,"IBM; Merit",1988,NSFNET T1 NSS,"T1/backbone packet forwarding processor role",priority,"Merit Figure 14; IBM/Merit NSS engineering documents; source code","Four PSPs shown in generic Figure 14; exact IBM RT model/interface mapping by site remains open"
ART-0089,processor-role,IBM RT NSFNET Routing Control Processor,"IBM; Merit",1988,NSFNET T1 NSS,"routing control SPF EGP policy processor",priority,"RFC 1093; Merit Figure 14; IBM routing source","Recover process layout route-distribution protocol and modified 4.3BSD build"
ART-0090,processor-role,IBM RT NSFNET External Packet Switching Processor,"IBM; Merit",1988,NSFNET T1 NSS,"client-facing Ethernet packet switching processor",priority,"Merit Figure 14; IBM/Merit site configs","Later sources sometimes use PSP-G terminology; reconcile naming and exact function by release"
ART-0091,internal-network,IBM Token Ring NSS internal fabric,IBM,1988,NSFNET T1 NSS,"dual redundant interprocessor LANs",priority,"Merit Figure 14; IBM/Merit hardware BOMs","Two rings documented; recover speed adapters MAUs cabling addresses failover and internal protocols"
ART-0092,management-computer,IBM PS/2 Model 80 Bridge Manager,IBM,1988,NSFNET T1 NSS,"internal bridge/network management",priority,"Merit Figure 14; NetView/Bridge Manager docs","Not one of the nine IBM RTs; exact PS/2 subtype OS adapters and software release unresolved"
ART-0093,management-computer,IBM PS/2 Model 80 NetView PC LAN Manager,IBM,1988,NSFNET T1 NSS,"LAN/network management",priority,"Merit Figure 14; IBM NetView documentation","Recover console role telemetry protocol and relation to NOC"
ART-0094,communications-subsystem,NSFNET Wide-Area Communications Subsystem,"IBM; MCI; Merit",1988,NSFNET T1,"logical-link/circuit management over T1 facilities",priority,"Merit/IBM/MCI WACS engineering docs; IDNX documentation","Keep circuit/channel management separate from NSS IP packet switching"
ART-0095,carrier-multiplexer,IBM IDNX in NSFNET WACS,IBM,1988,NSFNET T1,"software-controlled circuit multiplexing/channelization",priority,"contemporary IBM/Merit/MCI documents; IDNX manuals","Model number and site configuration still need primary confirmation before canonicalization"
ART-0096,operations-document,NSFNET Site Manual,"Merit; IBM; MCI",late 1980s,NSFNET,"NOC/site troubleshooting escalation and operating procedures",priority,"Merit archives; participant copies; NOC records","Recover actual manual revisions trouble-ticket forms circuit test procedures and escalation matrices"
ART-0097,protocol,BGP-4 (RFC 1771 generation),IETF IDR community,1995,Internet/BGP,"classless inter-AS path-vector routing protocol",started,"RFC 1771; RFC 1519; early vendor implementations","Structured artifact record exists; distinguish RFC 1771 generation from later RFC 4271 core specification while retaining BGP-4 name"
ART-0098,protocol,BGP-1 (RFC 1105),"Kirk Lougheed; Yakov Rekhter; Internet routing community",1989,Internet/BGP,"inter-AS reachability and AS-path policy routing",started,"RFC 1105; Cisco/NSFNET implementation records","RFC states implementations existed on cisco routers and NSFNET NSS; recover exact software releases"
ART-0099,protocol,BGP-2 (RFC 1163),"Kirk Lougheed; Yakov Rekhter; IETF IDR",1990,Internet/BGP,"inter-AS routing with generalized path attributes",started,"RFC 1163; RFC 1773","Obsoletes RFC 1105; removed up/down/horizontal AS relationship concepts and introduced path attributes"
ART-0100,protocol,BGP-3 (RFC 1267),"Kirk Lougheed; Yakov Rekhter; IETF IDR",1991,Internet/BGP,"inter-AS path-vector routing revision",started,"RFC 1267; RFC 1773","Obsoletes RFC 1163; expands NEXT_HOP use and adds BGP Identifier/open-message changes"
ART-0101,protocol,Exterior Gateway Protocol (RFC 904),"David L. Mills; DARPA Internet community",1984,Internet/EGP,"exterior reachability exchange between autonomous systems",started,"RFC 904; NSFNET EGP operational records","Documented experience base for later BGP; not a formal BGP revision"
ART-0102,standard,CIDR address assignment and aggregation strategy (RFC 1519),"Vince Fuller; Tony Li; Jessica Yu; Kannan Varadhan; IETF",1993,Internet/CIDR,"classless prefix allocation longest-match and route aggregation strategy",started,"RFC 1519; early deployment records","Cross-links to BGP-4; preserve CIDR as separate address/routing-scaling lineage rather than a BGP-only feature"
ART-0103,standard,IEEE 802.1D-1990 MAC Bridges,IEEE,1990,IEEE 802 LAN bridging,"transparent bridging and spanning-tree bridge behavior",started,"IEEE 802.1D-1990; RFC 1493","Separate IEEE STP from DEC LANbridge 100 STP dialects"
ART-0104,standard,IEEE 802.1Q-1998 Virtual Bridged Local Area Networks,IEEE,1998,IEEE 802 VLAN,"virtual bridged LAN architecture VLAN-aware forwarding and tagging",started,"IEEE 802.1Q-1998","Board approved 1998-12-08; published 1999-03-08; track later consolidation of 802.1D"
ART-0105,protocol-family,Microcom Networking Protocol (MNP) error-control family,Microcom,1980s,dial-up modems,"modem-side error detection retransmission and compatibility",priority,"original Microcom MNP specifications patents manuals","Later V.42-era products preserve MNP Classes 2-4 interoperability; original class genealogy still needed"
ART-0106,protocol,MNP Class 5 compression,Microcom,1980s,dial-up modems,"modem-side data compression",priority,"original Microcom Class 5 specification; product manuals","Keep distinct from MNP Classes 2-4 error control and from V.42bis"
ART-0107,standard,CCITT V.42 (11/1988),CCITT,1988,dial-up modems,"standardized modem error correction using LAPM plus compatibility procedures",started,"CCITT Recommendation V.42 11/1988","Treat 1993/1996/2002 editions as formal revisions"
ART-0108,standard,CCITT V.42bis (01/1990),CCITT,1990,dial-up modems,"data compression for DCEs using error-control procedures",started,"CCITT Recommendation V.42bis 01/1990","Distinct from V.42 error control and MNP5 compression"
ART-0109,modem-data-set,Hayes Smartmodem family,Hayes Microcomputer Products,late 1970s-1980s,dial-up personal computing,"software-controlled dial/answer modem and command interpreter",priority,"first-generation Smartmodem manuals advertisements product records","Resolve exact first-model introduction chronology separately from later Smartmodem 1200/2400"
ART-0110,interface,Hayes Standard AT Command Set,Hayes Microcomputer Products,1980s,Hayes-compatible modems,"text command/control interface over serial DTE connection",started,"Hayes technical references; third-party compatibility manuals","De facto ecosystem interface rather than one immutable formal standard"
ART-0111,configuration-interface,Hayes S-register configuration model,Hayes Microcomputer Products,1980s,Hayes-compatible modems,"numbered persistent/runtime modem configuration registers",priority,"Hayes owner/technical manuals by revision","Build register-by-register genealogy because meanings/defaults vary across models"
ART-0112,protocol-interface,Hayes command/data mode escape mechanism,Hayes Microcomputer Products,1980s,Hayes-compatible modems,"switch between online data mode and local command mode",priority,"earliest Smartmodem manual; later technical references","Recover original +++ guard-time semantics and revisions; distinguish characters from timing/state machine"
ART-0113,protocol,RADIUS (RFC 2058 generation),"Livingston Enterprises; IETF RADIUS/NASREQ community",1997,RADIUS/Network Access Servers,"centralized authentication authorization and service configuration for NAS/modem-pool access",started,"RFC 2058; pre-RFC Livingston source; PortMaster/ComOS records","Structured artifact exists; RFC explicitly documents Livingston PortMaster origin; trace 2058→2138→2865 and Accounting sibling branch"
ART-0116,protocol,DHCP (RFC 1531 generation),IETF,1993,DHCP/BOOTP,"first published DHCP generation adding reusable address allocation and leases to BOOTP",priority,"RFC 1531 (SRC-0099)","Reserved revision-level identity referenced by SRC-0099; promote to a structured artifact during the RFC 1531→1541→2131 diff"
ART-0120,protocol,PPP (RFC 1134 generation),IETF,1989,PPP,"early multi-protocol point-to-point framework and LCP lineage",priority,"RFC 1134 (SRC-0103)","Reserved revision-level identity referenced by SRC-0103; promote to a structured artifact during the RFC 1134→1171→1331→1548→1661 diff"
